uptime_s,free_mb,total_mb,percent,tensor_layers,metal_broken
 27, 6138, 12124, 51,-1,0
 27, 6138, 12124, 51,-1,0
 27, 6138, 12124, 51,-1,0
 27, 6138, 12124, 51,-1,0
 27, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 28, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 29, 6138, 12124, 51,-1,0
 30, 6138, 12124, 51,-1,0
 30, 6138, 12124, 51,-1,0
 30, 6138, 12124, 51,-1,0
 30, 6138, 12124, 51,-1,0
 30, 6138, 12124, 51,-1,0
 30, 6138, 12124, 51,-1,0
 30, 6138, 12124, 51,-1,0
 30, 6138, 12124, 51,-1,0
 30, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 31, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 32, 6138, 12124, 51,-1,0
 33, 6138, 12124, 51,-1,0
 33, 6138, 12124, 51,-1,0
 33, 6138, 12124, 51,-1,0
 33, 6138, 12124, 51,-1,0
 33, 6138, 12124, 51,-1,0
